msg.cui.wizard.shareVM.welcome.fFolderSharing	共享文件夹
msg.cui.wizard.shareVM.welcome.feature.remoteVM	远程虚拟机访问
msg.cui.wizard.shareVM.welcome.feature.uac	用户访问控制
msg.cui.wizard.shareVM.welcome.feature.autoStartStop	虚拟机自动启动和停止
msg.cui.wizard.shareVM.welcome.fAutoprotect	自动保护
msg.cui.wizard.shareVM.welcome.fDnD	拖放
msg.cui.wizard.shareVM.welcome.fCopyPaste	复制和粘贴
msg.cui.wizard.vm.easyinstall.fail.cfg	无法初始化简易安装。如果此错误持续存在，可能需要重新安装 %s。
msg.cui.wizard.vm.easyinstall.fail.flpImage	无法为简易安装创建虚拟软盘映像文件。如果此错误持续存在，可能需要重新安装 %s。
msg.cui.wizard.vm.easyinstall.lin.failScanIso	无法准备 %s 处的安装光盘。请确保使用的是有效的 Linux 安装光盘。如果此错误持续存在，可能需要重新安装 %s。
msg.cui.wizard.vm.easyinstall.fail.flpSettings	无法为简易安装创建虚拟软盘设置。如果此错误持续存在，可能需要重新安装 %s。
msg.cui.wizard.vm.easyinstall.lin.failMasterIso	无法创建用于存储简易安装设置的 ISO。如果此错误持续存在，可能需要重新安装 %s。
msg.cui.wizard.clone.welcome.title	欢迎使用克隆虚拟机向导
msg.cui.wizard.clone.src.subtitle	要从哪里克隆此虚拟机？
msg.cui.wizard.clone.src.title	克隆源
msg.cui.wizard.clone.type.subtitle	要如何克隆此虚拟机？
msg.cui.wizard.clone.type.title	克隆类型
msg.cui.wizard.clone.name.subtitle	要为此虚拟机使用什么名称？
msg.cui.wizard.clone.name.title	命名克隆
msg.cui.wizard.clone.confirm.subtitle	是否准备就绪进行克隆？
msg.cui.wizard.clone.confirm.title	摘要
msg.cui.wizard.clone.progress.title	正在克隆虚拟机
msg.cui.wizard.clone.error.pathExists	无法创建克隆：指定的路径已存在
msg.cui.wizard.clone.defaultformat	%s 的克隆 (%%d)
msg.cui.wizard.clone.defaultname	%s 的克隆
msg.cui.wizard.clone.stage.preparing	正在准备克隆操作
msg.cui.wizard.clone.stage.snapshotting	正在为虚拟机拍摄快照
msg.cui.wizard.clone.stage.cloning	正在克隆虚拟机
msg.cui.wizard.clone.stage.done	完成
msg.cui.wizard.convertHardware.welcome.title	欢迎使用更改硬件兼容性向导
msg.cui.wizard.convertHardware.selectFormat.subtitle	要转换为哪种兼容性格式？
msg.cui.wizard.convertHardware.selectFormat.title	选择虚拟机硬件兼容性
msg.cui.wizard.convertHardware.askClone.subtitle	要在进行更改前克隆此虚拟机吗？
msg.cui.wizard.convertHardware.askClone.title	转换前克隆
msg.cui.wizard.convertHardware.nameClone.subtitle	要为此虚拟机使用什么名称？
msg.cui.wizard.convertHardware.nameClone.title	命名克隆
msg.cui.wizard.convertHardware.summary.subtitle	是否准备就绪转换此虚拟机？
msg.cui.wizard.convertHardware.summary.title	查看更改
msg.cui.wizard.convertHardware.confirm.title	正在转换虚拟机
msg.cui.wizard.convertHardware.welcome	欢迎使用更改硬件兼容性向导。此向导允许您将虚拟机从一个虚拟硬件代次升级或更改为另一个代次，使虚拟机能够与不同代次的产品配合使用。
msg.cui.wizard.convertHardware.sharedWarning	\n警告：这是共享虚拟机。共享虚拟机的硬件兼容性无法降级。
msg.cui.wizard.convertHardware.remoteWarning	\n警告：这是远程虚拟机。远程虚拟机的硬件兼容性无法降级。
msg.cui.wizard.convertHardware.noTarget	无法在此主机上更改此虚拟机的硬件兼容性。
msg.cui.wizard.convertHardware.tooNewVersion	您正尝试更改此版本 VMware Workstation 无法识别的虚拟机的硬件兼容性。要执行此操作，必须使用创建该虚拟机的 VMware Workstation 版本来更改其硬件兼容性。
msg.cui.wizard.convertHardware.oldVersion	您正尝试更改此版本 VMware Workstation 不支持的虚拟机的硬件兼容性。此版本仅支持由 VMware Workstation 4.0 及更高版本创建的虚拟机。
msg.cui.wizard.convertHardware.notConvertible	由于此虚拟机具有旧版快照，无法更改其硬件兼容性。
msg.cui.wizard.convertHardware.stage.cloning	正在克隆虚拟机
msg.cui.wizard.convertHardware.stage.reconfig	正在重新配置虚拟硬件
msg.cui.wizard.convertHardware.stage.consolidating	正在整合磁盘
msg.cui.wizard.convertHardware.stage.done	完成
msg.cui.wizard.convertHardware.summaryHwVersion	新的虚拟机版本：%s\n
msg.cui.wizard.convertHardware.vcpuChange	   将处理器数量减少到 %d\n
msg.cui.wizard.convertHardware.memoryChange	   将内存减少到 %u MB\n
msg.cui.wizard.convertHardware.graphicsMemoryChange	   将共享图形内存减少到 %u MB \n
msg.cui.wizard.convertHardware.summaryHwAdd	   添加：%s\n
msg.cui.wizard.convertHardware.summaryHwRemove	   移除：%s\n
msg.cui.wizard.convertHardware.noSnapshots	您正在降级到不支持快照的版本，但此虚拟机具有快照或录制。降级前请移除快照。
msg.cui.wizard.convertHardware.noIDEsupport	您正在降级到不支持 IDE 磁盘的版本。要降级此虚拟机，请移除所有 IDE 磁盘。
msg.cui.wizard.convertHardware.noSATAsupport	您正在降级到不支持 SATA 设备的版本。要降级此虚拟机，请移除所有 SATA 磁盘。
msg.cui.wizard.convertHardware.disksTooBig.ide	您正在降级到不支持大于 %s 的 IDE 磁盘的版本。要降级此虚拟机，请移除该磁盘。
msg.cui.wizard.convertHardware.disksTooBig.scsi	您正在降级到不支持大于 %s 的 SCSI 磁盘的版本。要降级此虚拟机，请移除该磁盘。
msg.cui.wizard.convertHardware.disksTooBig.sata	您正在降级到不支持大于 %s 的 SATA 磁盘的版本。要降级此虚拟机，请移除该磁盘。
msg.cui.wizard.convertHardware.disksTooBig.nvme	您正在降级到不支持大于 %s 的 NVMe 磁盘的版本。要降级此虚拟机，请移除该磁盘。
