msg.player.linux.vm.action.sendCtrlAltDel	发送 Ctrl+Alt+Del(_C)
msg.player.linux.createNewVM.description	创建新的虚拟机，随后将其添加到库的顶部。
msg.player.linux.createNewVM.welcome_label	创建新虚拟机(_N)
msg.player.linux.createNewVM.toolbar_label	创建新虚拟机(_C)
msg.player.linux.openAnExistingVM.description	打开现有的虚拟机，随后将其添加到库的顶部。
msg.player.linux.openAnExistingVM.welcome_label	打开虚拟机(_O)
msg.player.linux.openAnExistingVM.toolbar_label	打开虚拟机(_O)
msg.player.linux.upgradeToWS.description	获取快照、虚拟网络管理等高级功能。
msg.player.linux.upgradeToWS.welcome_label	升级到 VMware Workstation Pro(_W)
msg.player.linux.downloadAppliance.descriptionFmt	从市场下载虚拟设备。随后可在 %s 中打开它。
msg.player.linux.downloadAppliance.welcome_label	下载虚拟设备(_D)
msg.player.linux.helpWelcome.description	查看联机帮助。
msg.player.linux.helpWelcome.welcome_label	帮助(_E)
msg.player.linux.browseForVM	浏览虚拟机(_B)
msg.player.linux.action.vmRemove	从库中移除虚拟机(_R)
msg.player.linux.action.vmRemove.popup	从库中移除虚拟机(_R)
msg.player.linux.action.vmDelete	从磁盘删除虚拟机(_D)
msg.player.linux.action.powerMenu	电源(_P)
msg.player.linux.action.devices	可移动设备(_D)
msg.player.linux.openVirtualMachine	打开虚拟机
msg.player.linux.deleteFromListOrDisk	要从库中移除虚拟机“%s”，还是将其从磁盘删除？\n\n警告！从磁盘删除虚拟机无法撤销。
msg.player.linux.missingVM.body	在 %s 找不到该虚拟机
msg.player.linux.missingVM.header	找不到虚拟机
msg.player.linux.library.home	主页
msg.player.linux.welcome.top.headerFmt	欢迎使用 %s
msg.player.linux.createNewVM.accessible	新建
msg.player.linux.upgradeToWS.accessible	升级
msg.player.linux.downloadAppliance.accessible	下载
msg.player.linux.recentvmlist	最近使用的虚拟机
msg.player.linux.powerOn	开机(_P)
msg.player.linux.settings	编辑虚拟机设置(_E)
msg.player.linux.settings.popup	虚拟机设置(_S)
msg.player.linux.powerState.on	已开机
msg.player.linux.powerState.off	已关机
msg.player.linux.powerState.suspended	已挂起
msg.player.linux.powerState.unknown	未知
msg.player.linux.libraryDetails.state	状态：
msg.player.linux.libraryDetails.os	操作系统：
msg.player.linux.libraryDetails.lastUsed	版本：
msg.player.linux.libraryDetails.ram	内存：
msg.player.linux.actions.helpEnableAllHints	启用所有提示(_E)
msg.player.linux.actions.helpShowEnabledHints	显示已启用的提示(_S)
msg.player.linux.tryhelpForMoreInformation.STR	尝试使用 '%s --help' 获取更多信息。\n
msg.player.linux.fileMenu	文件(_F)
msg.player.linux.vncMenu	VNC 连接(_N)
msg.player.linux.vmMenu	虚拟机(_V)
msg.player.linux.action.suspend	挂起(_S)
msg.player.linux.action.reset	重置(_R)
msg.player.linux.action.powerOff	关机(_W)
msg.player.linux.quit	退出(_Q)
msg.player.linux.action.sendCtrlAltDel	发送 Ctrl+Alt+Del(_S)
msg.player.linux.action.snapshotMenu	快照(_S)
msg.player.linux.action.installTools	安装 VMware Tools(_T)...
msg.player.linux.action.installvPrinter	安装虚拟打印机(_V)...
msg.player.linux.action.vmrcPreferences	远程控制台首选项(_P)
msg.player.linux.action.playerPreferences	Player 首选项(_P)
msg.player.linux.action.helpMenu	帮助(_H)
msg.player.linux.action.hintsMenu	提示(_N)
msg.player.linux.action.help.tooltip	显示帮助
msg.player.linux.action.help	帮助内容(_H)
msg.player.linux.action.onlineCommunity	在线社区(_O)
